,permit_id_activity,activity_id,title,assigned_to,done_by,status_activity,date_requested,target_date,received_date,permit_id,name,address,application_date,project_name,status,description,geopoint,county
0,BLD2019-53810,201902191651517230,PERMIT CENTER COMMENT,Unknown,EBA,DONE,2019-02-19,1970-01-01 00:00:00,2019-02-19,BLD2019-53810,CLARA/OFFICE OF THE CITY CLERKS CITY OF SANTA  </br>,5001 GREAT AMERICA PKWY ,2019-02-19,HYATT GARND BALLROOM,FNL,STAGE for Radix Dance Event from 3/14/19 to 3/17/19. Set-up will be 3/14/19 & removed on 3/17/19. (For approvals see BLD2018-49509).,"[-121.975247, 37.4046706]",Santa Clara
1,BLD2019-53810,201902221004074740,(F) ISSUE  PERMIT,Unknown,EBA,DONE,1970-01-01 00:00:00,2019-02-22,2019-02-22,BLD2019-53810,CLARA/OFFICE OF THE CITY CLERKS CITY OF SANTA  </br>,5001 GREAT AMERICA PKWY ,2019-02-19,HYATT GARND BALLROOM,FNL,STAGE for Radix Dance Event from 3/14/19 to 3/17/19. Set-up will be 3/14/19 & removed on 3/17/19. (For approvals see BLD2018-49509).,"[-121.975247, 37.4046706]",Santa Clara
2,BLD2019-53810,201902221004418370,(F) PRINT JOB CARD,Unknown,EBA,DONE,1970-01-01 00:00:00,1970-01-01 00:00:00,2019-02-22,BLD2019-53810,CLARA/OFFICE OF THE CITY CLERKS CITY OF SANTA  </br>,5001 GREAT AMERICA PKWY ,2019-02-19,HYATT GARND BALLROOM,FNL,STAGE for Radix Dance Event from 3/14/19 to 3/17/19. Set-up will be 3/14/19 & removed on 3/17/19. (For approvals see BLD2018-49509).,"[-121.975247, 37.4046706]",Santa Clara
3,BLD2019-53810,201902191428510616,APPLICATION RECEIVED,Unknown,WEB,DONE,1970-01-01 00:00:00,1970-01-01 00:00:00,2019-02-19,BLD2019-53810,CLARA/OFFICE OF THE CITY CLERKS CITY OF SANTA  </br>,5001 GREAT AMERICA PKWY ,2019-02-19,HYATT GARND BALLROOM,FNL,STAGE for Radix Dance Event from 3/14/19 to 3/17/19. Set-up will be 3/14/19 & removed on 3/17/19. (For approvals see BLD2018-49509).,"[-121.975247, 37.4046706]",Santa Clara
4,BLD2019-53810,201903150647221010,600 (STATUS) PERMIT FINAL,Unknown,JSHU,PASS,1970-01-01 00:00:00,1970-01-01 00:00:00,2019-03-15,BLD2019-53810,CLARA/OFFICE OF THE CITY CLERKS CITY OF SANTA  </br>,5001 GREAT AMERICA PKWY ,2019-02-19,HYATT GARND BALLROOM,FNL,STAGE for Radix Dance Event from 3/14/19 to 3/17/19. Set-up will be 3/14/19 & removed on 3/17/19. (For approvals see BLD2018-49509).,"[-121.975247, 37.4046706]",Santa Clara
5,BLD2019-53810,201903050920370178,599 BUILDING FINAL,JSHU,JSHU,PASS,2019-03-05,2019-03-15,2019-03-15,BLD2019-53810,CLARA/OFFICE OF THE CITY CLERKS CITY OF SANTA  </br>,5001 GREAT AMERICA PKWY ,2019-02-19,HYATT GARND BALLROOM,FNL,STAGE for Radix Dance Event from 3/14/19 to 3/17/19. Set-up will be 3/14/19 & removed on 3/17/19. (For approvals see BLD2018-49509).,"[-121.975247, 37.4046706]",Santa Clara
6,BLD2019-53810,201903131511395200,(F) REPRINT PERMIT,Unknown,SHIL,DONE,1970-01-01 00:00:00,1970-01-01 00:00:00,2019-03-13,BLD2019-53810,CLARA/OFFICE OF THE CITY CLERKS CITY OF SANTA  </br>,5001 GREAT AMERICA PKWY ,2019-02-19,HYATT GARND BALLROOM,FNL,STAGE for Radix Dance Event from 3/14/19 to 3/17/19. Set-up will be 3/14/19 & removed on 3/17/19. (For approvals see BLD2018-49509).,"[-121.975247, 37.4046706]",Santa Clara
7,BLD2019-53810,201903131410252180,Inspection O/T Bldg,JSHU,JSHU,PASS,2019-03-13,2019-03-15,2019-03-15,BLD2019-53810,CLARA/OFFICE OF THE CITY CLERKS CITY OF SANTA  </br>,5001 GREAT AMERICA PKWY ,2019-02-19,HYATT GARND BALLROOM,FNL,STAGE for Radix Dance Event from 3/14/19 to 3/17/19. Set-up will be 3/14/19 & removed on 3/17/19. (For approvals see BLD2018-49509).,"[-121.975247, 37.4046706]",Santa Clara
0,BLD2019-53811,201902191702113320,PERMIT CENTER COMMENT,Unknown,EBA,DONE,2019-02-19,1970-01-01 00:00:00,2019-02-19,BLD2019-53811,CLARA/OFFICE OF THE CITY CLERKS CITY OF SANTA  </br>,5001 GREAT AMERICA PKWY ,2019-02-19,HYATT GRAND BALLROOM,FNL,"STAGE for Jump Dance Event on 4/26/19 to 4/28/19. Set-up will be on 4/25/19 & removed on 4/28/19. (For approvals, BLD2018-50552)","[-121.975247, 37.4046706]",Santa Clara
1,BLD2019-53811,201902221005272800,(F) ISSUE  PERMIT,Unknown,EBA,DONE,1970-01-01 00:00:00,2019-02-22,2019-02-22,BLD2019-53811,CLARA/OFFICE OF THE CITY CLERKS CITY OF SANTA  </br>,5001 GREAT AMERICA PKWY ,2019-02-19,HYATT GRAND BALLROOM,FNL,"STAGE for Jump Dance Event on 4/26/19 to 4/28/19. Set-up will be on 4/25/19 & removed on 4/28/19. (For approvals, BLD2018-50552)","[-121.975247, 37.4046706]",Santa Clara
